"Year","Month","Day","Temperature","Relative_humidity","Wind_direction","Wind_speed","Gust_speed","Precipitation","PAR","Date"
2018,6,22,90.2430625,59.64375,215.15,5.66625,12.323125,0,NA,"6/22/2018"
2018,6,23,85.5598333333333,67.83125,211.785416666667,4.78979166666667,11.1945833333333,0,NA,"6/23/2018"
2018,6,24,84.1742083333333,70.6645833333333,209.847916666667,4.69604166666667,12.110625,0.047,NA,"6/24/2018"
2018,6,25,78.6065172413793,82.948275862069,195.196551724138,3.40137931034483,8.49172413793104,0,NA,"6/25/2018"
2018,6,27,91.2771176470588,49.2764705882353,222.305882352941,3.84647058823529,8.84823529411765,0,728.111764705882,"6/27/2018"
2018,6,28,85.5313958333333,65.2583333333333,225.55,4.285,9.02416666666667,0,739.220833333333,"6/28/2018"
2018,6,29,86.7254693877551,63.6530612244898,199.461224489796,3.99,9.6130612244898,0,717.781632653061,"6/29/2018"
2018,6,30,85.9575,63.10625,214.272916666667,4.81125,9.87208333333333,0,642.91875,"6/30/2018"
2018,7,1,86.0223541666667,58.4666666666667,221.458333333333,4.02666666666667,9.02479166666667,0,661.5125,"7/1/2018"
2018,7,2,86.1328541666667,62.0479166666667,207.75,4.07375,9.17666666666667,0,681.408333333333,"7/2/2018"
2018,7,3,80.106,79.0833333333333,151.035416666667,2.25375,6.466875,0.127,289.064583333333,"7/3/2018"
2018,7,4,81.9579166666667,75.1541666666667,102.433333333333,5.693125,11.2554166666667,0,569.897916666667,"7/4/2018"
2018,7,5,84.2201458333333,72.6020833333333,113.541666666667,3.50875,8.71895833333333,0.031,568.960416666667,"7/5/2018"
2018,7,6,85.1157234042553,68.8255319148936,67.4085106382979,4.51978723404255,10.3678723404255,0,651.359574468085,"7/6/2018"
2018,7,7,79.9670625,76.6104166666667,63.175,4.41479166666667,9.78645833333333,0,482.502083333333,"7/7/2018"
2018,7,8,80.5520833333333,77.0833333333333,85.7208333333333,4.62604166666667,10.3397916666667,0.228,676.616666666667,"7/8/2018"
2018,7,9,79.0137083333333,82.0520833333333,126.84375,1.7725,5.77479166666667,0,377.1375,"7/9/2018"
2018,7,10,80.3489583333333,79.6145833333333,143.347916666667,3.53375,7.86333333333333,0,564.0125,"7/10/2018"
2018,7,11,79.1571458333333,86.18125,187.372916666667,2.030625,5.77416666666667,0.126,430.783333333333,"7/11/2018"
2018,7,12,78.6761666666667,87.7520833333333,209.054166666667,1.65458333333333,5.704375,0.181,384.272916666667,"7/12/2018"
2018,7,13,83.5538541666667,77.3041666666667,233.26875,1.57416666666667,5.17729166666667,0,575.73125,"7/13/2018"
2018,7,14,85.4329791666667,69.8875,192.602083333333,3.41729166666667,7.69895833333333,0,657.866666666667,"7/14/2018"
2018,7,15,85.6596458333333,66.8354166666667,223.458333333333,4.636875,9.07375,0,637.7625,"7/15/2018"
2018,7,16,86.6950625,63.9125,229.975,5.00020833333333,9.83520833333333,0,603.127083333333,"7/16/2018"
2018,7,17,85.3045625,64.8833333333333,216.88125,4.20395833333333,8.33083333333333,0,426.98125,"7/17/2018"
2018,7,18,84.59625,66.0958333333333,225.122916666667,3.07541666666667,7.06270833333333,0,427.866666666667,"7/18/2018"
2018,7,19,88.5349166666667,63.31875,221.779166666667,3.5575,8.34604166666667,0,651.66875,"7/19/2018"
2018,7,20,90.5356041666667,55.2458333333333,231.966666666667,6.700625,12.2152083333333,0,619.95,"7/20/2018"
2018,7,21,89.5220208333333,56.0375,226.025,6.501875,12.04,0,615.8875,"7/21/2018"
2018,7,22,86.5784375,59,230.48125,4.53125,9.27020833333333,0,477.345833333333,"7/22/2018"
2018,7,23,85.2487291666667,57.65625,106.852083333333,4.91729166666667,10.6554166666667,0,639.0125,"7/23/2018"
2018,7,24,82.7676875,57.0479166666667,45.7604166666667,5.23625,11.1602083333333,0,666.095833333333,"7/24/2018"
2018,7,25,84.4820833333333,52.3291666666667,85.3979166666667,2.75958333333333,6.95958333333333,0,671.252083333333,"7/25/2018"
2018,7,26,86.5585416666667,47.3729166666667,168.789583333333,2.48875,6.511875,0,545.835416666667,"7/26/2018"
2018,7,27,82.7305416666667,62.2875,184.845833333333,2.219375,6.610625,0.039,364.220833333333,"7/27/2018"
2018,7,28,77.5877083333333,85.1604166666667,93.0354166666667,3.358125,7.13479166666667,0.149,233.439583333333,"7/28/2018"
2018,7,29,75.9536875,88.9541666666667,125.764583333333,2.278125,6.32604166666667,0.118,383.7,"7/29/2018"
2018,7,30,78.7396875,81.06875,133.564583333333,2.67604166666667,6.5125,0,444.48125,"7/30/2018"
2018,7,31,76.7406666666667,83.1104166666667,171.272916666667,2.664375,6.98375,0,379.533333333333,"7/31/2018"
2018,8,1,77.67825,69.2125,121.147916666667,3.604375,8.720625,0,692.7625,"8/1/2018"
2018,8,2,78.4933125,60.7916666666667,61.5583333333333,3.345,7.87604166666667,0,662.814583333333,"8/2/2018"
2018,8,3,80.3834791666667,58.6104166666667,97.8604166666667,3.58,7.90916666666667,0,670.939583333333,"8/3/2018"
2018,8,4,80.5037083333333,68.0416666666667,132.720833333333,3.14520833333333,8.28520833333333,0,491.929166666667,"8/4/2018"
2018,8,5,82.5667708333333,70.8,157.4625,2.66354166666667,7.22958333333333,0,519.16875,"8/5/2018"
2018,8,6,82.5631875,67.4708333333333,170.872916666667,2.8875,8.49625,0,492.60625,"8/6/2018"
2018,8,7,80.6943125,71.725,194.79375,3.3925,8.94166666666667,0,582.085416666667,"8/7/2018"
2018,8,8,81.0448541666667,74.23125,192.625,5.25833333333333,11.430625,0,617.814583333333,"8/8/2018"
